date,open,high,low,close
1516933800000,104.6901,105.0,104.49,104.7499
1516935600000,104.7499,104.81,103.8702,104.3499
1516937400000,104.3698,104.4,103.42,103.4999
1516939200000,103.4999,108.45,103.4999,108.4
1516941000000,108.45,112.9875,107.6,112.9875
1516942800000,112.9875,112.9875,102.2056,104.7
1516944600000,104.7,106.5,98.5,98.8
1516946400000,98.8,102.9996,98.5,99.6
1516948200000,99.401,100.6,90.0,91.0
1516950000000,91.0,96.0,83.1,95.4999
1516951800000,95.4999,96.1113,85.0001,85.5
1516953600000,86.0,87.86,80.5,81.0
1516955400000,80.4822,89.0,78.0,88.8
1516957200000,88.8,88.9,83.7,84.9999
1516959000000,84.9999,85.0,80.001,81.0
1516960800000,81.0,83.946,80.0,81.6001
1516962600000,81.7,87.4,81.1005,86.0
1516964400000,85.6001,86.0017,81.0003,81.2
1516966200000,81.0003,81.2,75.0,76.0039
1516968000000,76.0039,81.0,75.4,76.931
1516969800000,76.95,79.5,76.3,79.2525
1516971600000,79.0,88.3018,79.0,88.0
1516973400000,88.0,88.3998,81.6,83.73
1516975200000,83.72,84.0,76.1113,76.999
1516977000000,76.999,78.5,70.0,75.95
1516978800000,77.3,86.4777,74.0,86.0
1516980600000,86.0,86.9,80.25,86.4995
1516982400000,86.2,94.0,85.4005,93.3
1516984200000,93.3,94.5,88.1,91.3899
1516986000000,91.28,91.39,88.0201,88.5
1516987800000,88.2,90.0,88.2,89.5
1516989600000,89.788,90.0,88.31,89.4
1516991400000,89.45,90.0,88.02,89.0
1516993200000,89.9,90.0,88.02,88.9
1516995000000,88.9,89.9,88.02,88.4999
1516996800000,88.4,90.0,88.02,88.87
1516998600000,88.3,89.0,87.0,88.0
1517000400000,87.2106,87.9999,83.0,83.0
1517002200000,83.0,86.0,82.7777,82.9
1517004000000,82.7,83.5,80.1113,80.2
1517005800000,80.1113,81.9,80.1,80.13
1517007600000,80.13,83.753,78.0,82.5
1517009400000,82.0111,86.75,81.0,86.216
1517011200000,86.2999,88.63,85.4,87.8
1517013000000,87.9,89.7,87.2,87.89
1517014800000,87.89,87.89,84.001,86.0
1517016600000,86.0,87.4026,85.41,87.198
1517018400000,87.0,87.6,85.21,87.0
1517020200000,87.0,89.6,86.995,89.54
1517022000000,89.54,92.2,89.5,91.0
1517023800000,91.49,93.8,89.0,90.0012
1517025600000,90.0012,92.5674,89.99,91.9672
1517027400000,91.7807,92.9864,91.7807,92.3
1517029200000,92.3,94.2,91.91,94.0
1517031000000,93.9998,97.0,93.7001,95.8699
1517032800000,95.5,96.0,93.3,94.7
1517034600000,94.7,96.0,92.58,92.83
1517036400000,92.9987,93.97,91.5571,91.91
1517038200000,91.98,93.2744,91.0416,92.35
1517040000000,92.3,93.8,91.6,92.15
1517041800000,92.15,92.79,90.1,91.7998
1517043600000,91.7777,92.2,90.5,91.4999
1517045400000,91.4998,92.41,91.23,91.7998
1517047200000,91.7998,92.0,91.1389,91.348
1517049000000,91.34,92.0,91.139,91.89
1517050800000,91.8998,92.0,88.0,89.0
1517052600000,89.0,91.5,88.6,90.6001
1517054400000,90.5311,91.0,89.9912,90.77
1517056200000,90.77,90.77,89.001,89.999
1517058000000,89.7,90.62,89.4001,89.43
1517059800000,89.43,90.0,89.0,89.7999
1517061600000,89.6999,89.6999,88.5,89.29
1517063400000,89.21,90.4,88.9999,90.3999
1517065200000,90.3,93.2475,90.0002,93.0
1517067000000,93.0201,103.0,92.2101,101.5
1517068800000,102.5,105.8,100.2,105.53
1517070600000,105.7797,112.2,105.0,112.0
1517072400000,112.19,120.0,112.0,115.0
1517074200000,119.0,119.0,105.0,111.555
1517076000000,111.9996,114.5055,110.0,112.6
1517077800000,111.5998,112.4,107.7,107.75
1517079600000,107.7001,110.8,106.1,108.82
1517081400000,109.0,112.2,108.5,111.5047
1517083200000,111.5,116.1999,111.5,114.9
1517085000000,114.0113,117.49,111.1,113.0
1517086800000,113.0,115.4358,111.1,113.65
1517088600000,113.6001,116.8999,113.6001,116.0
1517090400000,116.0,119.0,115.001,116.5
1517092200000,116.4,118.0,115.0,115.3011
1517094000000,115.3003,118.4999,115.3003,118.1022
1517095800000,118.2,118.7,115.3,117.9
1517097600000,117.9001,118.3,110.888,111.8888
1517099400000,111.8888,116.01,111.21,113.9
1517101200000,113.9,114.388,111.8,112.8
1517103000000,112.9999,112.9999,108.2,109.1
1517104800000,109.0,109.3541,107.3333,109.2702
1517106600000,109.3,111.8444,108.0002,109.2999
1517108400000,109.0301,110.0,108.81,109.9999
1517110200000,110.0,110.4999,107.81,108.5
1517112000000,108.5,109.7088,107.8,109.6001
1517113800000,109.7086,110.9135,108.0,110.9
1517115600000,110.9,112.12,110.2,111.3
1517117400000,111.0,111.6,109.0,110.7
1517119200000,110.99,111.4,110.4,110.54
1517121000000,110.6,113.9,110.6,113.32
1517122800000,113.3002,113.5,111.34,112.1999
1517124600000,112.1,112.289,110.4,111.1989
1517126400000,111.035,111.557,110.4001,111.0
1517128200000,111.1,111.5,110.7002,110.9002
